查詢公司名稱,公司名稱,統一編號,登記現況,資本總額(元),代表人姓名,公司所在地
台灣電力股份有限公司,台灣電力股份有限公司  Google搜尋  (出進口廠商英文名稱：TAIWAN POWER COMPANY) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03795904   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"600,000,000,000",曾文生,臺北市中正區羅斯福路三段242號 地址所屬公司家數: 1  電子地圖
潤成投資控股股份有限公司,潤成投資控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,53111933   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"349,000,000,000",曾達夢,臺北市中山區八德路二段308號13樓之1 地址所屬公司家數: 3  電子地圖
台灣積體電路製造股份有限公司,台灣積體電路製造股份有限公司  Google搜尋  (出進口廠商英文名稱：TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,22099131   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"280,500,000,000",魏哲家,新竹科學園區新竹市力行六路8號 地址所屬公司家數: 1  電子地圖
中國信託金融控股股份有限公司,中國信託金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,80333992   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"320,000,000,000",顏文隆,臺北市南港區經貿二路168號27樓、29樓 地址所屬公司家數: 1  電子地圖
凱基金融控股股份有限公司,"凱基金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
113年08月08日 發文號11330134170變更名稱 （前名稱：中華開發金融控股股份有限公司）",70827383   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"250,000,000,000",王銘陽,臺北市松山區敦化北路135號8、12、13及18樓 地址所屬公司家數: 1  電子地圖
新光金融控股股份有限公司,新光金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,80328219   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"330,000,000,000",魏寶生,臺北市中正區忠孝西路一段66號38樓 地址所屬公司家數: 3  電子地圖
國泰金融控股股份有限公司,國泰金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,70827406   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"180,000,000,000",蔡宏圖,臺北市大安區仁愛路四段296號 地址所屬公司家數: 16  電子地圖
玉山金融控股股份有限公司,玉山金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,70796305   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"200,000,000,000",黃男州,臺北市松山區民生東路3段117號14樓及115號1樓 地址所屬公司家數: 1  電子地圖
中國信託商業銀行股份有限公司,中國信託商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03077208   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"180,000,000,000",陳佳文,臺北市南港區經貿二路166、168、170、186、188號 地址所屬公司家數: 1  電子地圖
中國鋼鐵股份有限公司,中國鋼鐵股份有限公司  Google搜尋  (出進口廠商英文名稱：CHINA STEEL CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,30414175   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"170,000,000,000",黃建智,高雄市小港區中鋼路1號 地址所屬公司家數: 1  電子地圖
